Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
49,0.1458312,0.2498148,0.0702324,0.0350028,0.2182362,0.5547,0.2878938,0.258591,0.110658,0.1417266,0.0107886,0.0601776,0.1063038,0.2380746,0.0541182,0.2208426,0.2657748,0.2158896,0.3064338,0.2492442,0.0923904,0.1900542,0.103776841,0.04344261,0.3734844,0.2294796,0.3197496,0.2333526,0.689,0.185
50,0.1383804,0.249612,0.0770154,0.0343386,0.225276,0.5572,0.2938344,0.2514216,0.1061064,0.1413126,0.0132414,0.0521934,0.1040736,0.2236758,0.046938,0.2435562,0.2647326,0.2427876,0.3055536,0.2526966,0.0977034,0.1842384,0.104247973,0.047304628,0.3766242,0.2277792,0.3199668,0.2285454,0.744,0.203
51,0.129966,0.2426232,0.0821418,0.0324144,0.234936,0.5588,0.3035946,0.2423712,0.0997962,0.138339,0.0172116,0.0426492,0.098226,0.2114664,0.040467,0.259002,0.260625,0.2743572,0.306819,0.2567754,0.1063092,0.1755264,0.099963525,0.038390137,0.3709986,0.221802,0.3216156,0.2299158,0.77,0.222
52,0.1266378,0.230367,0.0840786,0.0302154,0.2480322,0.5475,0.3233802,0.2322786,0.0918174,0.1341876,0.0229758,0.0333378,0.0938856,0.206343,0.0343206,0.2676168,0.2536086,0.3022422,0.3080448,0.2670678,0.1144296,0.168342,0.096426318,0.03181768,0.3625116,0.2150112,0.3280026,0.2346402,0.796,0.267
53,0.1243398,0.221121,0.082359,0.0333108,0.2660094,0.5261,0.340341,0.2237046,0.0863916,0.1254132,0.0295716,0.0303678,0.0833556,0.198801,0.0290352,0.2717052,0.247542,0.3174174,0.3070602,0.2706168,0.1089972,0.1618056,0.093745892,0.027471456,0.355365,0.2036484,0.328422,0.2318358,0.813,0.314
54,0.130893,0.2159676,0.08064,0.0409152,0.2873706,0.4914,0.364833,0.2162172,0.0776532,0.1181256,0.0347574,0.0336846,0.0792108,0.1874274,0.0257508,0.2662608,0.2476908,0.3283554,0.309282,0.2722746,0.099864,0.158214,0.092012297,0.024990511,0.349821,0.1879758,0.3206832,0.2225304,0.865,0.344
55,0.1486746,0.2120052,0.0835746,0.0498912,0.3096702,0.4618,0.3882396,0.2091822,0.0640794,0.112932,0.0391074,0.0363078,0.0870846,0.1772154,0.0245478,0.2558946,0.2509014,0.3380934,0.320421,0.2723778,0.094158,0.1588026,0.091280795,0.023824207,0.3403638,0.1721154,0.3171798,0.2124198,0.906,0.307
56,0.1742976,0.2094846,0.0872388,0.0584454,0.3351876,0.4594,0.4100202,0.2039412,0.0513816,0.1098012,0.0436176,0.0352566,0.1015992,0.1673256,0.025473,0.244548,0.2532864,0.3497898,0.3375024,0.2706288,0.0914262,0.1641252,0.091560399,0.023426061,0.3327498,0.155136,0.3098526,0.2003022,0.916,0.157
57,0.2033118,0.2120562,0.0836586,0.0663,0.3603486,0.4677,0.4181814,0.2006274,0.0398556,0.1089186,0.0452574,0.0307848,0.1176282,0.1606116,0.0295356,0.2329224,0.2543832,0.3585984,0.353748,0.2645622,0.0818952,0.1787748,0.072236036,0.036229403,0.322776,0.1398636,0.3035976,0.1938072,0.906,0.059
58,0.2201586,0.2171004,0.083364,0.0717084,0.378105,0.4765,0.4196784,0.1898214,0.0337752,0.1080978,0.0428652,0.022389,0.1244562,0.1623384,0.0325398,0.22407,0.2604828,0.3661392,0.3657342,0.248115,0.0732,0.1981512,0,0.065775549,0.3057936,0.1256664,0.2947236,0.1896408,0.88,0.027
59,0.2342736,0.2144874,0.0942366,0.0662328,0.3908514,0.4867,0.4252134,0.1690176,0.0384528,0.1027344,0.0452592,0.0134322,0.1297932,0.1735512,0.033171,0.2103588,0.2635086,0.3773154,0.3817998,0.217803,0.0773184,0.2125884,0,0.103985071,0.285048,0.1124928,0.2859294,0.1813356,0.853,0.016
60,0.2600232,0.2046462,0.1052892,0.0583776,0.399825,0.4859,0.4432422,0.171027,0.0439578,0.0957858,0.049398,0.0068412,0.149355,0.192774,0.0327222,0.1994652,0.2585628,0.3878016,0.400077,0.2078718,0.0852906,0.2278998,0,0.147093784,0.261906,0.1025772,0.2747862,0.1718712,0.832,0.028
61,0.2911218,0.1926858,0.1077774,0.0526008,0.4028742,0.4831,0.4603734,0.1668318,0.0471396,0.0900162,0.0522066,0.0047544,0.1751748,0.2155494,0.0334782,0.193077,0.2474568,0.395067,0.4183446,0.212727,0.0855678,0.2460996,0,0.192965108,0.2415828,0.0934956,0.2686776,0.1658178,0.813,0.025
62,0.3087864,0.1831098,0.0955194,0.0494616,0.4056492,0.4773,0.4722756,0.1540344,0.0528462,0.0856878,0.053382,0.007773,0.1894986,0.2341536,0.036027,0.1875108,0.2379774,0.3969774,0.437964,0.2110518,0.0778434,0.2653494,0,0.240120496,0.228921,0.0806484,0.2506746,0.1570164,0.799,0.022
63,0.31896,0.170994,0.074955,0.0487398,0.4013346,0.4688,0.4753506,0.1409328,0.0604254,0.0819144,0.0526326,0.0132528,0.2028948,0.2398572,0.0393132,0.1815804,0.2246244,0.3957372,0.4555758,0.1963872,0.0726366,0.2827806,0,0.223243049,0.2216904,0.0689514,0.2222904,0.1396476,0.781,0.033
64,0.3390258,0.1569072,0.0725154,0.05109,0.403791,0.4557,0.473535,0.1284036,0.0659742,0.0788484,0.053652,0.0233046,0.2289042,0.233163,0.0423624,0.173592,0.2058258,0.3954114,0.4731624,0.1744428,0.08655,0.2976774,0,0.208932936,0.2177526,0.0602616,0.199869,0.1165554,0.742,0.059
65,0.3662256,0.1544754,0.076812,0.0581748,0.405708,0.4369,0.4681212,0.1146822,0.0685938,0.0814068,0.0544188,0.0370704,0.2606178,0.2288274,0.0439206,0.1780518,0.1918146,0.3950208,0.4840038,0.1445868,0.1040022,0.3114954,0,0.197458099,0.2123058,0.0561474,0.2007654,0.095826,0.697,0.101
66,0.3941358,0.1594782,0.0852312,0.064068,0.414816,0.4329,0.4657386,0.1068264,0.0708066,0.0865338,0.054564,0.0502218,0.294012,0.2271252,0.045519,0.1891062,0.1846278,0.3928494,0.4920024,0.1262226,0.1229898,0.3224706,0,0.189066711,0.2131098,0.0513216,0.2165988,0.0804912,0.63,0.146
67,0.406107,0.165993,0.0965508,0.0660504,0.4205238,0.4022,0.4652646,0.1104438,0.072459,0.090417,0.0554094,0.0588438,0.3130614,0.2233986,0.0462888,0.203394,0.1800888,0.3871362,0.4973808,0.1323564,0.1461354,0.3321636,0.090309043,0.183970577,0.224979,0.045249,0.2470206,0.07854,0.593,0.191
68,0.4202724,0.1703184,0.1095582,0.0680352,0.4310412,0.3771,0.4608978,0.1130442,0.0716406,0.0927618,0.0573804,0.063726,0.3274692,0.21597,0.0471834,0.2159628,0.1720542,0.376905,0.501384,0.1394892,0.1696494,0.3413658,0.120081535,0.182323134,0.2396664,0.0399504,0.2771136,0.0883266,0.549,0.235
69,0.4267548,0.1750224,0.1236816,0.0681066,0.4326384,0.3678,0.4466232,0.114051,0.0697062,0.0943386,0.0601074,0.0678948,0.335421,0.211239,0.049338,0.2200176,0.1630182,0.3623856,0.502629,0.1440774,0.1911186,0.3498096,0.119225826,0.205257322,0.2516184,0.0367314,0.2970576,0.1090722,0.517,0.27
70,0.43797,0.1846542,0.1365114,0.0672582,0.43824,0.3593,0.4296822,0.11499,0.0686916,0.0969084,0.0624456,0.0722568,0.3466968,0.2134644,0.0519096,0.221997,0.159651,0.3484494,0.5019456,0.1498536,0.2062764,0.355188,0.118975596,0.231844074,0.2597334,0.0345198,0.3150558,0.1434954,0.474,0.266
71,0.4387776,0.1900506,0.1500936,0.0648312,0.432087,0.3606,0.4215234,0.1128972,0.0696702,0.1000386,0.0608124,0.0811806,0.3573126,0.2199684,0.0573666,0.2187894,0.155679,0.330273,0.4971012,0.1596084,0.2263914,0.3561936,0.119326789,0.261361118,0.2692914,0.0305676,0.3458424,0.1880754,0.429,0.243
72,0.4454676,0.1907526,0.1625178,0.0640602,0.4287384,0.3559,0.4163022,0.1088424,0.070488,0.101793,0.059061,0.0976638,0.3720336,0.22755,0.0644784,0.2140878,0.1526004,0.3098964,0.4891806,0.1681164,0.2479776,0.3555204,0.120277499,0.293078886,0.2819886,0.0281598,0.3776982,0.2279652,0.464,0.222
73,0.4490022,0.1871322,0.1729008,0.0656694,0.420786,0.3792,0.403128,0.1039932,0.0694404,0.1009734,0.0576144,0.116085,0.3827916,0.2357574,0.0713376,0.2071158,0.1511196,0.2885538,0.4800378,0.1726656,0.2675274,0.3573636,0.121827688,0.326294854,0.2900928,0.0277074,0.3945816,0.2472444,0.495,0.205
74,0.4579326,0.1795896,0.1834014,0.0686748,0.416655,0.4184,0.380469,0.0991848,0.070596,0.0979242,0.0567366,0.1274994,0.3987174,0.2420922,0.0785466,0.1975404,0.148257,0.2617674,0.470997,0.1755708,0.2875704,0.3596826,0.123978046,0.36034619,0.2931462,0.0282408,0.3911448,0.2463678,0.423,0.195
75,0.4605072,0.1716084,0.1981104,0.0708324,0.4064928,0.4473,0.3577566,0.0953556,0.077859,0.0938568,0.057648,0.1327104,0.4098018,0.243567,0.0847788,0.184155,0.1473132,0.2310906,0.4613484,0.1777392,0.306321,0.355977,0.118354538,0.355936605,0.2934834,0.0306966,0.3784368,0.2388534,0.385,0.187
76,0.468339,0.1647552,0.2158878,0.0699246,0.4023816,0.4511,0.3346314,0.0928668,0.0870282,0.0905292,0.0594294,0.1352196,0.4281858,0.2441742,0.0891528,0.170478,0.1505028,0.2120562,0.4501464,0.1783836,0.3220968,0.3469224,0.11299002,0.352109567,0.2924298,0.0353706,0.3644778,0.2326896,0.436,0.196
77,0.47193,0.1587054,0.2204628,0.0692436,0.4008138,0.4425,0.3122286,0.0915234,0.0929094,0.0906756,0.0632922,0.1250382,0.4312242,0.238815,0.087,0.1573602,0.1601286,0.2059014,0.4458702,0.1656552,0.3202788,0.3365742,0.10795937,0.348879285,0.281892,0.0439476,0.34668,0.2344266,0.545,0.213
