Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
38,0.0894192,0.1240904,0.046652,0.0681832,0.269972,0.721333333,0.2760808,0.31388,0.122548,0.111896,0.0227072,0.0302232,0.0338992,0.3730712,0.1360296,0.0987856,0.1477408,0.1398512,0.2891944,0.0768512,0.0946544,0.1983576,0.266541028,0.015468329,0.3556944,0.3494976,0.2431176,0.2712672,0.010224782,0.028384
39,0.1112352,0.1486504,0.052088,0.070684,0.2695584,0.7184,0.2787224,0.325752,0.1254936,0.1171016,0.019908,0.0351536,0.0475552,0.3769456,0.1197832,0.1053416,0.1690928,0.1489768,0.3048712,0.0708136,0.1072928,0.2111888,0.21958529,0.015219117,0.3822088,0.3459824,0.2548232,0.2754912,0.007102466,0.024885
40,0.1518712,0.1846936,0.0593808,0.0645072,0.2744168,0.719866667,0.290844,0.3383448,0.1281856,0.1188808,0.0160408,0.0447488,0.0767608,0.3754096,0.1036144,0.1131568,0.204708,0.154192,0.3261152,0.0737888,0.1225112,0.2225152,0.18195822,0.030283108,0.4135,0.346008,0.2882392,0.2940792,0.004539858,0.020051
41,0.2011136,0.2234264,0.0649456,0.0583408,0.2835072,0.721066667,0.2914704,0.3163552,0.1312568,0.1285264,0.013484,0.0585008,0.1223296,0.3684744,0.0976736,0.1250144,0.2358152,0.1511888,0.3471912,0.08032,0.1325928,0.2342392,0.157532005,0.030114853,0.4388704,0.3392392,0.3345104,0.3126976,0.002956008,0.016855
42,0.2368968,0.2567368,0.0693152,0.0479928,0.2875032,0.7288,0.282728,0.3020872,0.1346408,0.1476664,0.0121344,0.071416,0.1633872,0.36014,0.0988672,0.1374952,0.2498384,0.1510912,0.3623576,0.1046336,0.1349688,0.2408472,0.146782108,0.032053108,0.4614552,0.3267416,0.3781184,0.3211936,0.002027739,0.015168
43,0.2488288,0.2772248,0.0726488,0.0398104,0.2905288,0.7344,0.281444,0.3265184,0.1375104,0.1628968,0.0124936,0.0804152,0.1830752,0.3461848,0.101796,0.146484,0.2572352,0.1655536,0.3786216,0.1647792,0.133876,0.2426744,0.147803424,0.026561376,0.4683704,0.3147528,0.40824,0.3238016,0.001495199,0.015617
44,0.2479808,0.288588,0.0746432,0.0374112,0.2947608,0.733066667,0.2930632,0.3461064,0.140896,0.1715544,0.0139184,0.087244,0.1849008,0.3445184,0.1033744,0.155624,0.27362,0.1916992,0.388968,0.2222344,0.131812,0.2440648,0.161394627,0.031997333,0.4702944,0.3072072,0.4254208,0.3257288,0.002506004,0.017398
45,0.2398352,0.2948632,0.0732928,0.038936,0.2964152,0.729466667,0.3160392,0.3535608,0.1442904,0.1762232,0.0153184,0.0928144,0.171468,0.3466544,0.1019432,0.174632,0.2939152,0.2194192,0.3923624,0.2587264,0.1277096,0.247404,0.152997995,0.043272456,0.4710984,0.3015704,0.4328472,0.325316,0.000935273,0.019148
46,0.2287464,0.2996744,0.0703504,0.0457992,0.2938032,0.725733333,0.3416376,0.353248,0.1498408,0.1789152,0.0155856,0.0954496,0.1550048,0.34798,0.097664,0.2045328,0.3129752,0.2404608,0.3947048,0.2813632,0.12218,0.2506144,0.146587083,0.045964212,0.4794552,0.2940032,0.4278688,0.315656,0.001006954,0.019482
47,0.2138648,0.3097904,0.0735368,0.0518064,0.28874,0.730666667,0.36146,0.3507088,0.153956,0.182484,0.0142104,0.0940984,0.1437944,0.3348072,0.0905616,0.2335792,0.3326416,0.257168,0.4023248,0.2999888,0.1181424,0.2542664,0.142089057,0.049328077,0.4885136,0.2945872,0.4211112,0.311872,0.001261236,0.017763
