Technology,Subset,Value,,Unit,Source,Updated at,Updated by
HHI_DRI_EAF_CCS,Heat,1,,Binary,not relevant,29.04.2024,Konstantin Löffler
HMI_Gas_CCS,Heat,1,,Binary,not relevant,30.04.2024,Konstantin Löffler
HMI_HardCoal_CCS,Heat,1,,Binary,not relevant,01.05.2024,Konstantin Löffler
HLR_H2_Boiler,Heat,1,,Binary,not relevant,02.05.2024,Konstantin Löffler
HLI_H2_Boiler,Heat,1,,Binary,not relevant,03.05.2024,Konstantin Löffler
CHP_Biomass_Solid,Heat,1,,Binary,not relevant,04.05.2024,Konstantin Löffler
CHP_Coal_Hardcoal,Heat,1,,Binary,not relevant,05.05.2024,Konstantin Löffler
CHP_Coal_Lignite,Heat,1,,Binary,not relevant,06.05.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural,Heat,1,,Binary,not relevant,07.05.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas,Heat,1,,Binary,not relevant,08.05.2024,Konstantin Löffler
CHP_Gas_CCGT_SynGas,Heat,1,,Binary,not relevant,09.05.2024,Konstantin Löffler
CHP_Biomass_Solid_CCS,Heat,1,,Binary,not relevant,10.05.2024,Konstantin Löffler
CHP_Coal_Hardcoal_CCS,Heat,1,,Binary,not relevant,11.05.2024,Konstantin Löffler
CHP_Coal_Lignite_CCS,Heat,1,,Binary,not relevant,12.05.2024,Konstantin Löffler
CHP_Gas_CCGT_Natural_CCS,Heat,1,,Binary,not relevant,13.05.2024,Konstantin Löffler
CHP_Gas_CCGT_Biogas_CCS,Heat,1,,Binary,not relevant,14.05.2024,Konstantin Löffler
CHP_Hydrogen_FuelCell,Heat,1,,Binary,not relevant,15.05.2024,Konstantin Löffler
CHP_Oil,Heat,1,,Binary,not relevant,16.05.2024,Konstantin Löffler
HLI_Convert_DH,Heat,1,,Binary,not relevant,17.05.2024,Konstantin Löffler
HLR_Convert_DH,Heat,1,,Binary,not relevant,18.05.2024,Konstantin Löffler
Z_Import_Hardcoal,ImportTechnology,1,,Binary,not relevant,19.05.2024,Konstantin Löffler
Z_Import_Oil,ImportTechnology,1,,Binary,not relevant,20.05.2024,Konstantin Löffler
