"ModalSplitByFuelAndModalType(r in REGION, f in FUEL, y in YEAR, md in MODALTYPE)", , , , , , , , , , , , , , , , , , , , 
Describes the distribution of technologies within a specific modal type., , , , , , , , , , , , , , , , , , , , 
Unit: Fraction, , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , 
Region,Fuel,Year,MT_PSNG_ROAD,MT_PSNG_RAIL,MT_PSNG_AIR,MT_FRT_ROAD,MT_FRT_RAIL,MT_FRT_SHIP,MT_PSNG_ROAD_RE,MT_PSNG_RAIL_RE,MT_PSNG_AIR_RE,MT_FRT_ROAD_RE,MT_FRT_RAIL_RE,MT_FRT_SHIP_RE,MT_PSNG_ROAD_CONV,MT_PSNG_RAIL_CONV,MT_PSNG_AIR_CONV,MT_FRT_ROAD_CONV,MT_FRT_RAIL_CONV,MT_FRT_SHIP_CONV
CH,Mobility_Freight,2050,0,0,0,"0,52","0,27",0,0,0,0,0,"0,19",0,0,0,0,0,0,0
CZ,Mobility_Freight,2018,0,0,0,"0,72","0,27",0,0,0,0,0,"0,19",0,0,0,0,"0,7","0,08",0
CZ,Mobility_Freight,2020,0,0,0,"0,71","0,27",0,0,0,0,0,"0,19",0,0,0,0,"0,66","0,06",0
CZ,Mobility_Freight,2025,0,0,0,"0,69","0,26",0,0,0,0,0,"0,18",0,0,0,0,"0,52",0,0
CZ,Mobility_Freight,2030,0,0,0,"0,67","0,25",0,0,0,0,0,"0,17",0,0,0,0,"0,33",0,0
CZ,Mobility_Freight,2035,0,0,0,"0,65","0,25",0,0,0,0,0,"0,17",0,0,0,0,"0,03",0,0
CZ,Mobility_Freight,2040,0,0,0,"0,62","0,24",0,0,0,0,0,"0,16",0,0,0,0,0,0,0
CZ,Mobility_Freight,2045,0,0,0,"0,6","0,23",0,0,0,0,0,"0,16",0,0,0,0,0,0,0
CZ,Mobility_Freight,2050,0,0,0,"0,57","0,22",0,0,0,0,0,"0,15",0,0,0,0,0,0,0
DE,Mobility_Freight,2018,0,0,0,"0,72","0,19","0,07",0,0,0,0,"0,13",0,0,0,0,"0,7","0,05","0,07"
DE,Mobility_Freight,2020,0,0,0,"0,72","0,19","0,07",0,0,0,0,"0,13",0,0,0,0,"0,67","0,04","0,06"
DE,Mobility_Freight,2025,0,0,0,"0,7","0,19","0,07",0,0,0,0,"0,13",0,0,0,0,"0,52",0,"0,05"
DE,Mobility_Freight,2030,0,0,0,"0,67","0,18","0,06",0,0,0,0,"0,12",0,0,0,0,"0,33",0,"0,02"
DE,Mobility_Freight,2035,0,0,0,"0,65","0,17","0,06",0,0,0,0,"0,12",0,0,0,0,"0,03",0,"0,01"
DE,Mobility_Freight,2040,0,0,0,"0,63","0,17","0,06",0,0,0,0,"0,12",0,0,0,0,0,0,0
DE,Mobility_Freight,2045,0,0,0,"0,61","0,16","0,06",0,0,0,0,"0,11",0,0,0,0,0,0,0
DE,Mobility_Freight,2050,0,0,0,"0,58","0,15","0,05",0,0,0,0,"0,11",0,0,0,0,0,0,0
DK,Mobility_Freight,2018,0,0,0,"0,88","0,11",0,0,0,0,0,"0,08",0,0,0,0,"0,85","0,03",0
DK,Mobility_Freight,2020,0,0,0,"0,87","0,11",0,0,0,0,0,"0,08",0,0,0,0,"0,81","0,02",0
