"RegionalBaseYearProduction{r in REGION, t in TECHNOLOGY, f in FUEL}", , , 
Describes how much of a fuel has to be produced by specific technologies in the base year per region., , , 
Unit: PJ, , , 
 , , , 
Region,Technology,Fuel,2018
HR,HLI_Hardcoal,Heat_Low_Industrial,"0,3"
HR,HLI_Direct_Electric,Heat_Low_Industrial,"0,04"
HR,HLI_Oil_Boiler,Heat_Low_Industrial,"0,415"
HR,*HLI_Gas_Boiler,Heat_Low_Industrial,"1,346"
HR,*HLI_Convert_DH,Heat_Low_Industrial,"1,161"
HR,HMI_Biomass,Heat_Medium_Industrial,"1,598"
HR,HMI_HardCoal,Heat_Medium_Industrial,"1,079"
HR,HMI_Steam_Electric,Heat_Medium_Industrial,"0,137"
HR,HMI_Oil,Heat_Medium_Industrial,"3,469"
HR,*HHI_BF_BOF,Heat_High_Industrial,"2,61"
HR,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,023"
HR,HHI_Scrap_EAF,Heat_High_Industrial,"0,015"
HR,HHI_DRI_EAF,Heat_High_Industrial,"5,072"
HR,P_Gas_CCGT,Power,"2,703000000000001"
HR,P_Biomass,Power,"1,857"
HR,P_Coal_Hardcoal,Power,"4,537"
HR,P_Oil,Power,"0,171"
HR,HLR_Heatpump_Aerial,Heat_Low_Residential,"0,001"
HR,HLR_Heatpump_Ground,Heat_Low_Residential,"0,0"
HR,HLR_Direct_Electric,Heat_Low_Residential,"2,602"
HR,CHP_Coal_Hardcoal,Power,"0,113"
HR,CHP_Oil,Power,"0,57"
HR,CHP_Gas_CCGT_Natural,Power,"5,379"
HR,CHP_Biomass_Solid,Power,"1,115"
HR,CHP_Coal_Hardcoal,Heat_District,"0,247"
HR,CHP_Oil,Heat_District,"1,251"
HR,CHP_Gas_CCGT_Natural,Heat_District,"11,809"
HR,CHP_Biomass_Solid,Heat_District,"2,447"
HU,HLR_Biomass,Heat_Low_Residential,"31,724"
HU,HLR_Hardcoal,Heat_Low_Residential,"5,898"
HU,HLR_Oil_Boiler,Heat_Low_Residential,"0,399"
HU,HLI_Biomass,Heat_Low_Industrial,"1,005"
HU,HLI_Hardcoal,Heat_Low_Industrial,"0,163"
HU,HLI_Direct_Electric,Heat_Low_Industrial,"0,071"
HU,HLI_Oil_Boiler,Heat_Low_Industrial,"0,053"
HU,*HLI_Gas_Boiler,Heat_Low_Industrial,"2,089"
HU,*HLI_Convert_DH,Heat_Low_Industrial,"12,219"
HU,HMI_Biomass,Heat_Medium_Industrial,"1,609"
HU,HMI_HardCoal,Heat_Medium_Industrial,"0,908"
HU,HMI_Steam_Electric,Heat_Medium_Industrial,"0,366"
HU,HMI_Oil,Heat_Medium_Industrial,"0,205"
HU,*HHI_BF_BOF,Heat_High_Industrial,"14,435"
HU,HHI_Bio_BF_BOF,Heat_High_Industrial,"0,252"
HU,HHI_Scrap_EAF,Heat_High_Industrial,"0,243"
HU,HHI_DRI_EAF,Heat_High_Industrial,"12,55"
HU,P_Gas_CCGT,Power,"5,999999999999998"
HU,P_Gas_Engines,Power,"2,811"
HU,P_Gas_OCGT,Power,"6,52"
HU,P_Biomass,Power,"3,579"
HU,P_Oil,Power,"0,259"
HU,P_Nuclear,Power,"53,658"
HU,P_Coal_Lignite,Power,"17,828"
HU,HLR_Heatpump_Aerial,Heat_Low_Residential,"0,001"
HU,HLR_Heatpump_Ground,Heat_Low_Residential,"0,0"
HU,HLR_Direct_Electric,Heat_Low_Residential,"5,661"
