"TradeCosts{f in FUEL, r in REGION1, rr in REGION2}", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Costs for trading a fuel from one region to another., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Unit: M€/PJ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , ,FR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,GR,HR,HU,IE,IT,LT,LU,LV,NONEU_Balkan,NL,PL,PT,RO,SE,SI,SK,UK,TR,NO1,NO2,NO3,NO4,NO5
Biomass,BE,"0,4601394575707002","0,4464823837821232",0,0,"0,4353152943144231","0,4463842728575075","0,431373359805863","0,4432390599413004",0,"0,4695416508096523",0,0,"0,4591445344905422","0,4620926574438634","0,4528749943472783","0,4576970830543114",0,"0,4203204289906037",0,0,"0,422471913620508","0,4575851618599717",0,0,"0,478259862061946","0,4520379086687419","0,4597463800179898","0,4413049719992916",0,"0,4632538378006302","0,4536585944778396","0,4723921647747166","0,5056639825303672","0,461426172405813"
Biomass,BG,0,"0,4569588023245779",0,0,"0,47328305550262","0,4596419518901291","0,4750512835444038",0,0,0,0,"0,4333446176098589","0,4457732419021503","0,4423676125573427",0,"0,459162774658718",0,0,0,"0,434821581897585",0,"0,4614131396790968",0,"0,4287372434850521",0,"0,4522166493230438","0,4476312998908468",0,"0,4322666017885012",0,0,0,0,0
Biomass,CH,"0,4566220685607846","0,4334444741645332","0,4353152943144231","0,47328305550262",0,"0,4402371546373611","0,4354490807356571","0,4571498427254262",0,"0,4645003078909627",0,0,"0,4420254746398253","0,4498318164283349",0,"0,4369191431666222",0,"0,4297337680100409",0,"0,4551208205036519","0,4409707360153265","0,4560898589210869",0,"0,4681667554986993","0,4916413382334523","0,4357491951529507","0,4506005985445902","0,4616240300850471",0,0,0,0,0,0
Biomass,CZ,"0,4822088642792056","0,4250739972295211","0,4463842728575075","0,4596419518901291","0,4402371546373611",0,"0,4303819600426542","0,4467949941424876","0,4640867341945678",0,0,"0,4699041749183115","0,4364464458517272","0,4317628584323951",0,"0,448234797943291","0,4498329655812184","0,4421209251848542","0,4566925094221363","0,4489388940521985","0,4451726663555833","0,4306955455724182",0,"0,4494786950501958","0,4748935394692249","0,4312825216676098","0,4279337082236375","0,4702062675955023",0,"0,4657461087935629","0,4620492401540461","0,4771690175111707","0,5045839984334297","0,4689445232344931"
Biomass,DE,"0,4730881061726056","0,4343034809739919","0,431373359805863","0,4750512835444038","0,4354490807356571","0,4303819600426542",0,"0,4369390357255391","0,4677000451022056","0,4819859121124456","0,4872126257163795","0,4835518170888441","0,448103872714865","0,4473088555025197","0,4679099125328534","0,4532910970293308","0,45666308795514","0,4285804079283912","0,462032548712406","0,4619699224084151","0,4292820346921183","0,4408181421817708",0,"0,4653658814460958","0,4707419709800619","0,4412241078009451","0,4437850592889396","0,4543452437181311",0,"0,4593492799117024","0,4536585944778396","0,4715614077770723","0,5019671138908505","0,461426172405813"
Biomass,DK,"0,4888207366640638","0,4549059882977937","0,4432390599413003",0,"0,4571498427254262","0,4467949941424876","0,4369390357255391",0,"0,4551305363313868",0,"0,4684083713102623",0,"0,4682478502990293","0,4631682479374118","0,4648918620788269","0,4756551900230715","0,4507514572401352","0,445135383783089","0,4527715937680151",0,"0,4354188448106479","0,4454548384993776",0,"0,4781828611974773","0,4311035419917993","0,4620125704944864","0,457273380084013","0,4497993144832099",0,"0,4358803947282535","0,4274482112021648","0,4447279567531643","0,4783736151577549","0,4352573269800203"
Biomass,EE,0,0,0,0,0,"0,4640867341945678","0,4677000451022056","0,4551305363313868",0,0,"0,4414012440581129",0,0,0,0,0,"0,4304583853579297",0,"0,4230307378249932",0,0,"0,448775093492912",0,0,"0,4419748451847799",0,"0,4634113217400721",0,0,"0,4502109529376161","0,457687765916414","0,4543232000759549","0,4640845947982745","0,4588923635629981"
Biomass,ES,"0,4240250896620069","0,4826346956158649","0,4695416508096523",0,"0,4645003078909627",0,"0,4819859121124456",0,0,0,0,0,"0,4860827221501796",0,"0,4759416723733897","0,4701914029668683",0,"0,4687933111156364",0,0,"0,4773426005576684",0,"0,4320037675182287",0,0,"0,4823182480165652",0,"0,4788518721593572",0,0,0,0,0,0
Biomass,FI,0,0,0,0,0,0,"0,4872126257163795","0,4684083713102623","0,4414012440581129",0,0,0,0,0,0,0,"0,4571191646694301",0,"0,4498854373233411",0,0,"0,4739199584392059",0,0,"0,4354994643990832",0,0,0,0,"0,4519970804825512","0,4609692560571086","0,4487155903418565","0,4439387376054024","0,4588508257131159"
Biomass,FR,0,"0,4752376610672662","0,4269497570035782",0,"0,4290266494976888","0,4822088642792056","0,4352573269800203","0,4888207366640638",0,"0,4560262519211256",0,"0,5059168163052217","0,4800346853584856","0,4908510963897368","0,4678432010534297","0,4560262519211256",0,"0,4596420697405749",0,"0,4896342714516722","0,4678920073855885","0,4975891121011176","0,4377749393916164","0,5080572292550499","0,5234649723978049","0,475637876216084","0,4925412274529924","0,4394111119682414",0,"0,4835658463930312","0,4728075432735386","0,4913334243210046","0,5272221266192344","0,4806581969012765"
