Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
DE,CHP_Oil,2018,0.9,,Fraction,,,
DE,RES_PV_Utility_Tracking,2018,0.98,,Fraction,,,
FI,P_Nuclear,2018,0.95,,Fraction,,,
HU,P_Nuclear,2018,0.9,,Fraction,,,
RO,P_Nuclear,2018,0.95,,Fraction,,,
SI,P_Nuclear,2018,0.88,,Fraction,,,
AT,RES_Waste,2018,1.0,,Fraction,,,
AT,RES_Hydro_Large,2018,0.284003038,,Fraction,,,
BE,RES_Hydro_Large,2018,0.096724517,,Fraction,,,
BG,RES_Hydro_Large,2018,0.134024153,,Fraction,,,
CH,RES_Hydro_Large,2018,0.293486005,,Fraction,,,
CZ,RES_Hydro_Large,2018,0.127494687,,Fraction,,,
DE,RES_Hydro_Large,2018,0.417282298,,Fraction,,,
DK,RES_Hydro_Large,2018,0.0,,Fraction,,,
EE,RES_Hydro_Large,2018,0.0,,Fraction,,,
ES,RES_Hydro_Large,2018,0.512655521,,Fraction,,,
FI,RES_Hydro_Large,2018,0.0,,Fraction,,,
FR,RES_Hydro_Large,2018,0.32024356,,Fraction,,,
HR,RES_Hydro_Large,2018,0.284955224,,Fraction,,,
HU,RES_Hydro_Large,2018,0.0,,Fraction,,,
IE,RES_Hydro_Large,2018,0.152496076,,Fraction,,,
IT,RES_Hydro_Large,2018,0.216127436,,Fraction,,,
LT,RES_Hydro_Large,2018,0.575604735,,Fraction,,,
LU,RES_Hydro_Large,2018,0.119679441,,Fraction,,,
LV,RES_Hydro_Large,2018,0.0,,Fraction,,,
NL,RES_Hydro_Large,2018,0.0,,Fraction,,,
NO,RES_Hydro_Large,2018,0.438185044,,Fraction,,,
NONEU_Balkan,RES_Hydro_Large,2018,0.467137726,,Fraction,,,
PT,RES_Hydro_Large,2018,0.0,,Fraction,,,
RO,RES_Hydro_Large,2018,0.0,,Fraction,,,
SE,RES_Hydro_Large,2018,0.517424094,,Fraction,,,
SI,RES_Hydro_Large,2018,0.369076847,,Fraction,,,
