Region,Technology,Emission,Year,Value
DE,CHP_Oil,CO2,2030,1
DE,CHP_Oil,CO2,2035,1
DE,CHP_Oil,CO2,2040,1
DE,CHP_Oil,CO2,2045,1
DE,CHP_Oil,CO2,2050,1
World,FRT_Rail_Conv,CO2,2018,0
DE,FRT_Rail_Conv,CO2,2018,1
World,FRT_Rail_Conv,CO2,2020,0
DE,FRT_Rail_Conv,CO2,2020,1
World,FRT_Rail_Conv,CO2,2025,0
DE,FRT_Rail_Conv,CO2,2025,1
World,FRT_Rail_Conv,CO2,2030,0
DE,FRT_Rail_Conv,CO2,2030,1
World,FRT_Rail_Conv,CO2,2035,0
DE,FRT_Rail_Conv,CO2,2035,1
World,FRT_Rail_Conv,CO2,2040,0
DE,FRT_Rail_Conv,CO2,2040,1
World,FRT_Rail_Conv,CO2,2045,0
DE,FRT_Rail_Conv,CO2,2045,1
World,FRT_Rail_Conv,CO2,2050,0
DE,FRT_Rail_Conv,CO2,2050,1
World,FRT_Road_ICE,CO2,2018,0
DE,FRT_Road_ICE,CO2,2018,1
World,FRT_Road_ICE,CO2,2020,0
DE,FRT_Road_ICE,CO2,2020,1
World,FRT_Road_ICE,CO2,2025,0
DE,FRT_Road_ICE,CO2,2025,1
World,FRT_Road_ICE,CO2,2030,0
DE,FRT_Road_ICE,CO2,2030,1
World,FRT_Road_ICE,CO2,2035,0
DE,FRT_Road_ICE,CO2,2035,1
World,FRT_Road_ICE,CO2,2040,0
DE,FRT_Road_ICE,CO2,2040,1
World,FRT_Road_ICE,CO2,2045,0
DE,FRT_Road_ICE,CO2,2045,1
World,FRT_Road_ICE,CO2,2050,0
DE,FRT_Road_ICE,CO2,2050,1
DE,FRT_Road_LNG,CO2,2018,1
DE,FRT_Road_LNG,CO2,2020,1
DE,FRT_Road_LNG,CO2,2025,1
DE,FRT_Road_LNG,CO2,2030,1
DE,FRT_Road_LNG,CO2,2035,1
DE,FRT_Road_LNG,CO2,2040,1
DE,FRT_Road_LNG,CO2,2045,1
DE,FRT_Road_LNG,CO2,2050,1
World,FRT_Road_PHEV,CO2,2018,0
DE,FRT_Road_PHEV,CO2,2018,1
World,FRT_Road_PHEV,CO2,2020,0
DE,FRT_Road_PHEV,CO2,2020,1
World,FRT_Road_PHEV,CO2,2025,0
DE,FRT_Road_PHEV,CO2,2025,1
World,FRT_Road_PHEV,CO2,2030,0
DE,FRT_Road_PHEV,CO2,2030,1
World,FRT_Road_PHEV,CO2,2035,0
DE,FRT_Road_PHEV,CO2,2035,1
World,FRT_Road_PHEV,CO2,2040,0
