Region,Technology,Year,Value,,Source,Updated at,Updated by
FR,HMI_Oil,2018,1.7913,,,,
FR,HMI_Steam_Electric,2018,0.2121,,,,
FR,P_Biomass,2018,1.52,,,,
FR,P_Coal_Hardcoal,2018,2.9,,,,
FR,P_Coal_Lignite,2018,0,,,,
FR,P_Gas,2018,6.34,,,,
FR,P_Gas_CCGT,2018,6.072,,,,
FR,P_Gas_Engines,2018,0.1295,,,,
FR,P_Gas_OCGT,2018,0.473,,,,
FR,P_Nuclear,2018,63.13,,,,
FR,P_Oil,2018,6.2,,,,
FR,RES_Hydro_Large,2018,12.716,,,,
FR,RES_Hydro_Large_Base,2018,8.204,,,,
FR,RES_Hydro_Small,2018,10.325,,,,
FR,RES_PV_Utility_Avg,2018,8.9,,,,
FR,RES_Wind_Offshore_Transitional,2018,0,,,,
FR,RES_Wind_Onshore_Avg,2018,15,,,,
FR,X_Gasifier,2018,21.3,,,,
GR,CHP_Biomass_Solid,2018,0.002392048,,,,
GR,CHP_Coal_Hardcoal,2018,0.050736591,,,,
GR,CHP_Gas_CCGT_Natural,2018,0.597514036,,,,
GR,CHP_Oil,2018,0.13293826,,,,
GR,D_PHS,2018,1.412,,,,
GR,HHI_BF_BOF,2018,2.5453,,,,
GR,HHI_DRI_EAF,2018,0.2024,,,,
GR,HHI_Scrap_EAF,2018,0.2451,,,,
GR,HLI_Biomass,2018,0.141,,,,
GR,HLI_Direct_Electric,2018,0.0269,,,,
GR,HLI_Gas_Boiler,2018,1.5007,,,,
GR,HLI_Oil_Boiler,2018,0.3036,,,,
GR,HLR_Biomass,2018,1.106,,,,
GR,HLR_Direct_Electric,2018,0.9772,,,,
GR,HLR_Gas_Boiler,2018,16.8082,,,,
GR,HLR_Hardcoal,2018,0.0064,,,,
GR,HLR_Oil_Boiler,2018,2.1284,,,,
GR,HMI_Biomass,2018,1.1242,,,,
GR,HMI_Gas,2018,9.1876,,,,
GR,HMI_Oil,2018,0.846,,,,
GR,HMI_Steam_Electric,2018,0.0019,,,,
GR,P_Biomass,2018,0.35,,,,
GR,P_Coal_Hardcoal,2018,0,,,,
GR,P_Coal_Lignite,2018,3.912,,,,
GR,P_Gas,2018,5.202,,,,
GR,P_Gas_CCGT,2018,4.699212,,,,
GR,P_Gas_OCGT,2018,0.148,,,,
GR,P_Nuclear,2018,0,,,,
GR,P_Oil,2018,1.3,,,,
GR,RES_Hydro_Large,2018,3.17,,,,
GR,RES_Hydro_Small,2018,0.226,,,,
