Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR
6780,1,1,1,1,1,0.679167231,0.901095238,0.871631651,1,0.640280349,0.84458125,1,0.964577176,0.735921148,0.904548385,1,1,1,1,0.903374382,0.964577176,1,1,0.964577176,0.735921148,0.871631651,0.871631651,0.871631651,1,0.84458125
6781,1,1,1,1,1,0.678869294,0.90093712,0.871501134,1,0.640266349,0.844590116,1,0.964181253,0.735709597,0.904381945,1,1,1,1,0.903226046,0.964181253,1,1,0.964181253,0.735709597,0.871501134,0.871501134,0.871501134,1,0.844590116
6782,1,1,1,1,1,0.678910785,0.900853562,0.87137363,1,0.640250895,0.844734359,1,0.963956707,0.735457078,0.904183539,1,1,1,1,0.903063583,0.963956707,1,1,0.963956707,0.735457078,0.87137363,0.87137363,0.87137363,1,0.844734359
6783,1,1,1,1,1,0.67883639,0.90078889,0.871244491,1,0.640238953,0.844971113,1,0.963452649,0.735184221,0.903939407,1,1,1,1,0.902900579,0.963452649,1,1,0.963452649,0.735184221,0.871244491,0.871244491,0.871244491,1,0.844971113
6784,1,1,1,1,1,0.678757274,0.900726811,0.871079534,1,0.640230876,0.845227764,1,0.963039484,0.734985625,0.903684808,1,1,1,1,0.902721872,0.963039484,1,1,0.963039484,0.734985625,0.871079534,0.871079534,0.871079534,1,0.845227764
6785,1,1,1,1,1,0.678675583,0.900640113,0.870917425,1,0.64034174,0.84546007,1,0.962597859,0.734801491,0.903451936,1,1,1,1,0.902464664,0.962597859,1,1,0.962597859,0.734801491,0.870917425,0.870917425,0.870917425,1,0.84546007
6786,1,1,1,1,1,0.678589628,0.900529605,0.870792876,1,0.640219339,0.845890943,1,0.9621546,0.734634795,0.903304378,1,1,1,1,0.90217502,0.9621546,1,1,0.9621546,0.734634795,0.870792876,0.870792876,0.870792876,1,0.845890943
6787,1,1,1,1,1,0.678503018,0.900410986,0.870707341,1,0.640095228,0.845697015,1,0.961832912,0.73445581,0.903284901,1,1,1,1,0.901913642,0.961832912,1,1,0.961832912,0.73445581,0.870707341,0.870707341,0.870707341,1,0.845697015
6788,1,1,1,1,1,0.678414177,0.900281881,0.870647432,1,0.639960236,0.845509303,1,0.961471829,0.734254439,0.903271916,1,1,1,1,0.901709146,0.961471829,1,1,0.961471829,0.734254439,0.870647432,0.870647432,0.870647432,1,0.845509303
6789,1,1,1,1,1,0.6783195,0.900160947,0.870604048,1,0.639807492,0.845327621,1,0.960921759,0.734053673,0.90322857,1,1,1,1,0.901552103,0.960921759,1,1,0.960921759,0.734053673,0.870604048,0.870604048,0.870604048,1,0.845327621
